Time,Humditiy
2021-06-01-00:10,46.0
2021-06-01-00:25,54.6
2021-06-01-00:40,47.0
2021-06-01-00:55,53.0
2021-06-01-01:10,49.0
2021-06-01-01:25,44.0
2021-06-01-01:40,49.0
2021-06-01-01:55,44.0
2021-06-01-02:10,52.0
2021-06-01-02:25,41.24
2021-06-01-02:40,47.0
2021-06-01-02:55,48.0
2021-06-01-03:10,49.0
2021-06-01-03:25,54.6
2021-06-01-03:40,41.0
2021-06-01-03:55,52.0
2021-06-01-04:10,47.0
2021-06-01-04:25,45.0
2021-06-01-04:40,48.0
2021-06-01-04:55,47.0
2021-06-01-05:10,42.0
2021-06-01-05:25,45.0
2021-06-01-05:40,52.0
2021-06-01-05:55,46.0
2021-06-01-06:10,50.0
2021-06-01-06:25,48.0
2021-06-01-06:40,47.0
2021-06-01-06:55,48.0
2021-06-01-07:10,47.0
2021-06-01-07:25,44.0
2021-06-01-07:40,41.0
2021-06-01-07:55,47.0
2021-06-01-08:10,42.0
2021-06-01-08:25,49.0
2021-06-01-08:40,51.0
2021-06-01-08:55,49.0
2021-06-01-09:10,54.6
2021-06-01-09:25,53.0
2021-06-01-09:40,41.0
2021-06-01-09:55,45.0
2021-06-01-10:10,47.0
2021-06-01-10:25,50.0
2021-06-01-10:40,45.0
2021-06-01-10:55,46.0
2021-06-01-11:10,54.6
2021-06-01-11:25,54.6
2021-06-01-11:40,46.0
2021-06-01-11:55,47.0
2021-06-01-12:10,52.0
2021-06-01-12:25,41.24
2021-06-01-12:40,42.0
2021-06-01-12:55,52.0
2021-06-01-13:10,41.24
2021-06-01-13:25,52.0
2021-06-01-13:40,54.6
2021-06-01-13:55,48.0
2021-06-01-14:10,53.0
2021-06-01-14:25,54.6
2021-06-01-14:40,51.0
2021-06-01-14:55,41.24
2021-06-01-15:10,41.24
2021-06-01-15:25,41.24
2021-06-01-15:40,50.0
2021-06-01-15:55,51.0
2021-06-01-16:10,49.0
2021-06-01-16:25,52.0
2021-06-01-16:40,41.0
2021-06-01-16:55,52.0
2021-06-01-17:10,53.0
2021-06-01-17:25,46.0
2021-06-01-17:40,49.0
2021-06-01-17:55,53.0
2021-06-01-18:10,52.0
2021-06-01-18:25,47.0
2021-06-01-18:40,49.0
2021-06-01-18:55,54.6
2021-06-01-19:10,52.0
2021-06-01-19:25,42.0
2021-06-01-19:40,52.0
2021-06-01-19:55,46.0
2021-06-01-20:10,51.0
2021-06-01-20:25,51.0
2021-06-01-20:40,54.6
2021-06-01-20:55,46.0
2021-06-01-21:10,50.0
2021-06-01-21:25,41.0
2021-06-01-21:40,54.6
2021-06-01-21:55,43.0
2021-06-01-22:10,47.0
2021-06-01-22:25,43.0
2021-06-01-22:40,52.0
2021-06-01-22:55,43.0
2021-06-01-23:10,42.0
2021-06-01-23:25,47.0
2021-06-01-23:40,41.0
2021-06-01-23:55,49.0
2021-06-02-00:10,52.0
2021-06-02-00:25,49.0
2021-06-02-00:40,54.6
2021-06-02-00:55,44.0
2021-06-02-01:10,52.0
2021-06-02-01:25,44.0
2021-06-02-01:40,41.0
2021-06-02-01:55,50.0
2021-06-02-02:10,48.0
